,stop_id,difference,actual_time,departure_time,stop_code,stop_name,stop_lat,stop_lon
39,905863,148,2018-04-02 23:01:00,2020-04-02 22:58:32,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
40,905863,-18,2018-04-02 05:39:00,2020-04-02 05:39:18,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
41,905863,-7,2018-04-02 07:43:00,2020-04-02 07:43:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
42,905863,162,2018-04-02 09:43:00,2020-04-02 09:40:18,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
43,905863,268,2018-04-02 23:23:00,2020-04-02 23:18:32,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
44,905863,-7,2018-04-02 05:54:00,2020-04-02 05:54:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
45,905863,53,2018-04-02 07:59:00,2020-04-02 07:58:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
46,905863,-7,2018-04-02 06:11:00,2020-04-02 06:11:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
47,905863,53,2018-04-02 08:14:00,2020-04-02 08:13:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
48,905863,173,2018-04-02 16:16:00,2020-04-02 16:13:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
49,905863,173,2018-04-02 18:16:00,2020-04-02 18:13:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
50,905863,88,2018-04-02 23:40:00,2020-04-02 23:38:32,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
51,905863,113,2018-04-02 07:00:00,2020-04-02 06:58:07,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
52,902145,0,2018-04-02 05:05:00,2020-04-02 05:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
53,902145,-420,2018-04-02 08:48:00,2020-04-02 08:55:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
54,902145,-360,2018-04-02 10:44:00,2020-04-02 10:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
55,902145,-360,2018-04-02 12:44:00,2020-04-02 12:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
56,902145,60,2018-04-02 13:06:00,2020-04-02 13:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
57,902145,-60,2018-04-02 14:49:00,2020-04-02 14:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
58,902145,-300,2018-04-02 16:50:00,2020-04-02 16:55:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
