,stop_id,difference,actual_time,departure_time,stop_name,stop_lat,stop_lon
45,902751,0,4/7/2018 14:07,2:07:00 PM,ROSWELL RD NE @ HAMMOND DR NE,33.918641,-84.379085
46,902751,360,4/7/2018 16:13,4:07:00 PM,ROSWELL RD NE @ HAMMOND DR NE,33.918641,-84.379085
47,902751,120,4/7/2018 18:09,6:07:00 PM,ROSWELL RD NE @ HAMMOND DR NE,33.918641,-84.379085
48,902751,180,4/7/2018 23:32,11:29:00 PM,ROSWELL RD NE @ HAMMOND DR NE,33.918641,-84.379085
49,902699,149,4/7/2018 6:32,6:29:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
50,902699,269,4/7/2018 16:34,4:29:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
51,902699,149,4/7/2018 18:32,6:29:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
52,902699,89,4/7/2018 22:13,10:11:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
53,902699,-211,4/7/2018 23:48,11:51:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
54,902699,149,4/7/2018 6:52,6:49:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
55,902699,209,4/7/2018 8:53,8:49:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
56,902699,149,4/7/2018 10:52,10:49:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
57,902699,329,4/7/2018 12:55,12:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
58,902699,449,4/7/2018 14:57,2:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
59,902699,149,4/7/2018 16:52,4:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
60,902699,-31,4/7/2018 5:49,5:49:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
61,902699,269,4/7/2018 9:54,9:49:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
62,902699,329,4/7/2018 13:55,1:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
63,902699,209,4/7/2018 15:53,3:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
64,902699,-31,4/7/2018 17:49,5:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
65,902699,89,4/7/2018 19:51,7:49:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
66,902699,29,4/7/2018 7:10,7:09:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
67,902699,269,4/7/2018 9:14,9:09:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
68,902699,269,4/7/2018 11:14,11:09:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
69,902699,449,4/7/2018 13:17,1:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
70,902699,329,4/7/2018 15:15,3:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
71,902699,269,4/7/2018 17:14,5:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
72,902699,209,4/7/2018 19:13,7:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
73,902699,269,4/7/2018 21:16,9:11:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
74,902699,29,4/7/2018 22:52,10:51:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
75,902699,389,4/7/2018 5:36,5:29:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
76,902699,29,4/7/2018 9:30,9:29:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
77,902699,89,4/7/2018 15:31,3:29:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
78,902699,89,4/7/2018 17:31,5:29:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
79,902699,209,4/7/2018 19:33,7:29:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
80,902699,-31,4/7/2018 6:09,6:09:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
81,902699,29,4/7/2018 8:10,8:09:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
82,902699,329,4/7/2018 10:15,10:09:00 AM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
83,902699,149,4/7/2018 12:12,12:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
84,902699,89,4/7/2018 14:11,2:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
85,902699,449,4/7/2018 16:17,4:09:00 PM,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
